concentration,E/V
2e-05,1.84314e-05
2e-05,1.78039e-05
2e-05,1.72124e-05
2e-05,1.66629e-05
2e-05,1.6161e-05
2e-05,1.57009e-05
2e-05,1.52783e-05
2e-05,1.48743e-05
2e-05,1.44793e-05
2e-05,1.41204e-05
2e-05,1.37926e-05
2e-05,1.34807e-05
2e-05,1.31501e-05
2e-05,1.28137e-05
2e-05,1.24931e-05
2e-05,1.2185e-05
2e-05,1.1909e-05
2e-05,1.16717e-05
2e-05,1.14268e-05
2e-05,1.12174e-05
2e-05,1.09994e-05
2e-05,1.08024e-05
2e-05,1.06093e-05
2e-05,1.04271e-05
2e-05,1.0257e-05
2e-05,1.00948e-05
2e-05,9.94853e-06
2e-05,9.82428e-06
2e-05,9.69717e-06
2e-05,9.58144e-06
2e-05,9.49494e-06
2e-05,9.33398e-06
2e-05,9.17354e-06
2e-05,9.03817e-06
2e-05,8.91406e-06
2e-05,8.79266e-06
2e-05,8.67766e-06
2e-05,8.56714e-06
2e-05,8.45994e-06
2e-05,8.36311e-06
2e-05,8.27733e-06
2e-05,8.19933e-06
2e-05,8.13754e-06
2e-05,8.03122e-06
2e-05,7.94629e-06
2e-05,7.86509e-06
2e-05,7.83107e-06
2e-05,7.6951e-06
2e-05,7.60115e-06
2e-05,7.51192e-06
2e-05,7.43226e-06
2e-05,7.35511e-06
2e-05,7.27425e-06
2e-05,7.20025e-06
2e-05,7.12709e-06
2e-05,7.05336e-06
2e-05,6.98367e-06
2e-05,6.91204e-06
2e-05,6.83911e-06
2e-05,6.7684e-06
2e-05,6.69554e-06
2e-05,6.62691e-06
2e-05,6.55895e-06
2e-05,6.48974e-06
2e-05,6.42446e-06
2e-05,6.36115e-06
2e-05,6.29327e-06
2e-05,6.22818e-06
2e-05,6.168e-06
2e-05,6.12471e-06
2e-05,6.04642e-06
2e-05,5.97662e-06
2e-05,5.91288e-06
2e-05,5.8468e-06
2e-05,5.78002e-06
2e-05,5.71516e-06
2e-05,5.64997e-06
2e-05,5.58529e-06
2e-05,5.51251e-06
2e-05,5.44945e-06
2e-05,5.37924e-06
2e-05,5.31003e-06
2e-05,5.24257e-06
2e-05,5.17219e-06
2e-05,5.10445e-06
2e-05,5.03737e-06
2e-05,4.97051e-06
2e-05,4.90973e-06
2e-05,4.84212e-06
2e-05,4.77421e-06
2e-05,4.70683e-06
2e-05,4.63684e-06
2e-05,4.56591e-06
2e-05,4.49625e-06
2e-05,4.42497e-06
2e-05,4.35396e-06
2e-05,4.28425e-06
2e-05,4.2126e-06
2e-05,4.14036e-06
2e-05,4.07021e-06
2e-05,3.9939e-06
2e-05,3.91942e-06
2e-05,3.80163e-06
2e-05,3.72142e-06
2e-05,3.64616e-06
2e-05,3.56887e-06
2e-05,3.49297e-06
2e-05,3.41875e-06
2e-05,3.34009e-06
2e-05,3.26228e-06
2e-05,3.1823e-06
2e-05,3.10086e-06
2e-05,3.02134e-06
2e-05,2.93774e-06
2e-05,2.85467e-06
2e-05,2.76535e-06
2e-05,2.68078e-06
2e-05,2.59892e-06
2e-05,2.51293e-06
2e-05,2.4256e-06
2e-05,2.33764e-06
2e-05,2.24629e-06
2e-05,2.1573e-06
2e-05,2.06919e-06
2e-05,1.97795e-06
2e-05,1.88671e-06
2e-05,1.79352e-06
2e-05,1.70684e-06
2e-05,1.61508e-06
2e-05,1.52384e-06
2e-05,1.42867e-06
2e-05,1.33536e-06
2e-05,1.23981e-06
2e-05,1.14478e-06
2e-05,1.04769e-06
2e-05,9.46301e-07
2e-05,8.48871e-07
2e-05,7.56777e-07
2e-05,6.59724e-07
2e-05,5.57295e-07
2e-05,4.58329e-07
2e-05,3.55121e-07
2e-05,2.5438e-07
2e-05,1.52696e-07
2e-05,5.01595e-08
2e-05,-6.06933e-08
2e-05,-1.61511e-07
2e-05,-2.58949e-07
2e-05,-3.64011e-07
2e-05,-4.65721e-07
2e-05,-5.72167e-07
2e-05,-6.78431e-07
2e-05,-7.83323e-07
2e-05,-8.90181e-07
2e-05,-9.97647e-07
2e-05,-1.10797e-06
2e-05,-1.21799e-06
2e-05,-1.32411e-06
2e-05,-1.43536e-06
2e-05,-1.54757e-06
2e-05,-1.66338e-06
